[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 478.45, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 401.55, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 79.56, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 547.95, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10139, Alita Wilson, 919.18, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10076, Lili Winegarden, 82.83, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 478.45, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 401.55, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 79.56, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 547.95, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10139, Alita Wilson, 919.18, Personal
[Mon, 15 Aug 2016 00:00:00 GMT] InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : [Mon, 15 Aug 2016 00:00:00 GMT] The specified transaction would have resulted in a negative balance for account 10076, Lili Winegarden, 82.83, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 478.45, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 401.55, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 79.56, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 547.95, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10139, Alita Wilson, 919.18, Personal
InGenDeveloperExercise_MichaelSchutt.vshost.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10076, Lili Winegarden, 82.83, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 478.45, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 401.55, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 79.56, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 547.95, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10139, Alita Wilson, 919.18, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10076, Lili Winegarden, 82.83, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10139, Alita Wilson, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10076, Lili Winegarden, 2:F, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10108, Dudley Laramie, 478.45, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10027, Paula Walke, 401.55, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10006, Helena Parman, 111.30, Personal
InGenDeveloperExercise_MichaelSchutt.exe Error: 0 : The specified transaction would have resulted in a negative balance for account 10101, Janna Mccarroll, 79.56, Personal
