10000, Hilton Dahlman, 6425.47, Personal
10001, Jacklyn Shew, 4146.96, Personal
10002, Erlinda Lazarus, 2905.59, Personal
10003, Victoria Maag, 5462.03, Personal
10004, Eliana Mcdonell, 5040.63, Personal
10005, Kennith Penny, 7936.88, Personal
10006, Helena Parman, 1251.68, Personal
10007, Lavinia Bier, 3764.32, Personal
10008, Ruthanne Nava, 8487.03, Personal
10009, Zola Broadnax, 10242.40, Personal
10010, Dessie Lunsford, 11454.42, Personal
10011, Christi Murr, 6978.89, Personal
10012, Cathie Stair, 7614.45, Personal
10013, Levi Cecil, 5923.02, Personal
10014, Cindie Tarango, 5226.92, Personal
10015, Elton Landreth, 7398.44, Personal
10016, Tierra Smithson, 3816.95, Personal
10017, Ninfa Rezac, 9354.76, Personal
10018, Trinh Knights, 8058.61, Personal
10019, Jazmin Binney, 7392.26, Personal
10020, Emery Wuest, 7539.47, Personal
10021, Stormy Piscopo, 3941.90, Personal
10022, Pilar Calender, 683.50, Personal
10023, Sheila Nastasi, 6914.51, Personal
10024, Deetta Carberry, 3550.82, Personal
10025, Berneice Feucht, 2282.95, Personal
10026, Corey Rios, 3506.30, Personal
10027, Paula Walke, 587.40, Personal
10028, Hee Gagnier, 4517.10, Personal
10029, Maisha Niel, 8320.77, Personal
10030, Merry Staats, 5893.87, Personal
10031, Lavonne Eagles, 925.44, Personal
10032, Kate Loud, 5303.86, Personal
10033, Valery Roberto, 7098.67, Personal
10034, Kourtney Schuch, 9710.64, Personal
10035, Kristel Seybert, 3996.00, Personal
10036, Monty Suess, 5046.10, Personal
10037, Forest Therrien, 5017.59, Personal
10038, Darrell Villatoro, 8616.53, Personal
10039, Chelsea Huether, 1056.90, Personal
10040, Marilu Holiday, 2373.68, Personal
10041, Evia Fricks, 8968.53, Personal
10042, Trang Elliston, 3542.26, Personal
10043, Huong Welte, 455.41, Personal
10044, Deborah Croswell, 6469.32, Personal
10045, Dahlia Maring, 6832.52, Personal
10046, Humberto Sandberg, 2993.05, Personal
10047, Charline Carn, 9619.37, Personal
10048, Tyesha Mettler, 3042.06, Personal
10049, Jose Haislip, 10794.93, Personal
10050, Yessenia Rank, 9714.93, Personal
10051, Lynnette Varnadoe, 5267.36, Personal
10052, Graciela Drapeau, 9136.55, Personal
10053, Ola Cramer, 2469.46, Personal
10054, Raelene Neihoff, 9473.70, Personal
10055, Buford Depasquale, 7161.22, Personal
10056, Lia Roche, 9606.90, Personal
10057, Otilia Vermeulen, 922.21, Personal
10058, Alessandra Fouts, 3614.73, Personal
10059, Retta Nick, 4280.45, Personal
10060, Marya Pavon, 8818.33, Personal
10061, Tiffiny Aarons, 5484.93, Personal
10062, Jacquie Cabot, 7171.21, Personal
10063, Elfriede Matsuo, 8112.71, Personal
10064, Carlita Marquart, 3655.23, Personal
10065, Iris Buczek, 7966.55, Personal
10066, Margot Machuca, 5176.55, Personal
10067, Victoria Wight, 2210.44, Personal
10068, Ronald Maltby, 1518.98, Personal
10069, Nakesha Leathers, 1891.88, Personal
10070, Christina Aldape, 4750.99, Personal
10071, Mandie Raven, 1534.24, Personal
10072, Lea Weight, 5292.17, Personal
10073, Cecile Presgraves, 7907.52, Personal
10074, Dennis Nodal, 9162.01, Personal
10075, Lizzie Guglielmo, 1836.69, Personal
10076, Lili Winegarden, 82.83, Personal
10077, Teresia Damiano, 2490.59, Personal
10078, Rose Tworek, 8166.83, Personal
10079, Ute Gainey, 895.20, Personal
10080, Buddy Fulgham, 1420.81, Personal
10081, Cathie Matthias, 6906.05, Personal
10082, Reyna Gama, 1739.24, Personal
10083, Juliana Erving, 3411.89, Personal
10084, Lakeshia Spratt, 5619.62, Personal
10085, Caron Fann, 3886.78, Personal
10086, Jayme Kendall, 8787.78, Personal
10087, Christoper Rivas, 2798.20, Personal
10088, Jerry Branan, 2531.62, Personal
10089, Nestor Vereen, 1934.46, Personal
10090, Harriet Freitag, 9472.98, Personal
10091, Nichol Freeman, 8884.41, Personal
10092, Carlo Baier, 7527.05, Personal
10093, Celestina Dawdy, 6731.49, Personal
10094, Carey Risk, 9411.00, Personal
10095, Leonel Ertl, 3439.99, Personal
10096, Hyun Minardi, 9877.59, Personal
10097, Le Marland, 3528.15, Personal
10098, Mayola Hernandez, 6879.60, Personal
10099, Eulah Ridlon, 8323.77, Personal
10100, Chassidy Errico, 2940.76, Personal
10101, Janna Mccarroll, 547.95, Personal
10102, Ona Bannister, 8380.09, Personal
10103, Marlys Armstong, 3178.59, Personal
10104, Claris Foskey, 10504.42, Personal
10105, Raina Pleasants, 5554.17, Personal
10106, Michaele Dewolfe, 5988.92, Personal
10107, Harriet Arjona, 4054.51, Personal
10108, Dudley Laramie, 2609.17, Personal
10109, Kellye Rehman, 1585.24, Personal
10110, Jeffie Julius, 6542.94, Personal
10111, Isaiah Bonetti, 7830.53, Personal
10112, Lakeesha Hiers, 2663.64, Personal
10113, Azucena Croom, 6766.22, Personal
10114, Regine Inman, 6016.65, Personal
10115, Liliana Nemeth, 7478.94, Personal
10116, Allyson Dantzler, 93.45, Personal
10117, Mindi Kimrey, 445.68, Personal
10118, Horacio Ryland, 4059.27, Personal
10119, Yoshiko Benites, 2041.44, Personal
10120, Shon Linzy, 7648.54, Personal
10121, Josue Olivares, 4693.36, Personal
10122, Eloy Bouldin, 2309.57, Personal
10123, Eulah Barraza, 5493.63, Personal
10124, Gillian Stefani, 4193.99, Personal
10125, Jenae Fecteau, 9333.78, Personal
10126, Mose Munns, 973.28, Personal
10127, Brenda Waldrep, 1380.53, Personal
10128, Tonda Severe, 1775.35, Personal
10129, Tyrone Cutting, 1716.01, Personal
10130, Kendall Todd, 6667.32, Personal
10131, Jamee Deanda, 2976.24, Personal
